Order,Family,Family_English_name,Scientific_name,English_name_AviList,Range,IUCN_Red_List_Category,Species_code_Cornell_Lab
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Leptasthenura setaria,Araucaria Tit-Spinetail,southeastern Brazil (Rio de Janeiro to Rio Grande do Sul) to northeastern Argentina,LC,artspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Anumbius annumbi,Firewood-gatherer,"savanna of Paraguay to southern Brazil, Uruguay, and central Argentina",LC,firgat1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Coryphistera alaudina,Lark-like Brushrunner,,LC,lalbru1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus inornatus,Plain Thornbird,,LC,ruftho3
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus rufifrons,Rufous-fronted Thornbird,,LC,ruftho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus striaticeps,Streak-fronted Thornbird,,LC,stftho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus sibilatrix,Little Thornbird,"Chaco of western Paraguay to southern Bolivia, western Uruguay, and northern Argentina",LC,littho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus dorsalis,Chestnut-backed Thornbird,northern Peru (upper Marañón Valley),NT,chbtho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus maculipectus,Spot-breasted Thornbird,Andes of southern Bolivia and northwestern Argentina (south to La Rioja),LC,spbtho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus striaticollis,Freckle-breasted Thornbird,southeastern Brazil (eastern Paraná) to Uruguay and northeastern Argentina,LC,frbtho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus ruber,Greater Thornbird,"northern Brazil to northern Bolivia, Paraguay, and northern Argentina",LC,gretho2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus erythrophthalmus,Orange-eyed Thornbird,coastal eastern Brazil (southern Bahia to São Paulo),LC,oretho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Phacellodomus ferrugineigula,Orange-breasted Thornbird,coastal southeastern Brazil (São Paulo to southern Rio Grande do Sul),LC,orbtho1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Hellmayrea gularis,White-browed Spinetail,,LC,whbspi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes dorbignyi,Rusty-vented Canastero,,LC,crbcan2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes arequipae,Dark-winged Canastero,Andes of western Peru (Lima and Ayacucho) to western Bolivia and northern Chile,LC,crbcan4
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes huancavelicae,Pale-tailed Canastero,,NE,crbcan3
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes berlepschi,Berlepsch's Canastero,Andes of western Bolivia (Nevado Illampu region in La Paz),NT,bercan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes baeri,Short-billed Canastero,,LC,shbcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes luizae,Cipo Canastero,east-central Brazil (Serra do Espinhaço in Minas Gerais),NT,cipcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes hudsoni,Hudson's Canastero,far southern Brazil to Uruguay and eastern Argentina (south to Río Negro),NT,hudcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes anthoides,Austral Canastero,far southern Chile and southern Argentina to Tierra del Fuego and Staten Island,LC,auscan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes urubambensis,Line-fronted Canastero,,NT,lifcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes flammulata,Many-striped Canastero,,LC,mascan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes virgata,Junin Canastero,very local in Andes of central and southern Peru,LC,juncan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes maculicauda,Scribble-tailed Canastero,locally in Andes of southern Peru (Puno) to western Bolivia and northwestern Argentina,LC,sctcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes wyatti,Streak-backed Canastero,,LC,stbcan9
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes humilis,Streak-throated Canastero,,LC,sttcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes modesta,Cordilleran Canastero,,LC,corcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes moreirae,Itatiaia Spinetail,high mountains of southeastern Brazil (southern Espírito Santo to northeastern São Paulo),LC,itaspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes pyrrholeuca,Sharp-billed Canastero,,LC,shbcan2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes harterti,Black-throated Thistletail,,LC,bltthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes helleri,Puna Thistletail,Andes of southern Peru (southern Cusco and Puno),LC,punthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes ayacuchensis,Ayacucho Thistletail,Andes of southern Peru (Ayacucho),LC,vilthi3
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes vilcabambae,Vilcabamba Thistletail,southern Peru (Cordillera Vilcabamba in Cusco),LC,vilthi2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes pudibunda,Canyon Canastero,,LC,cancan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes ottonis,Rusty-fronted Canastero,Andes of central Peru (Huancavelica to Cusco),LC,rufcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes heterura,Maquis Canastero,Andes of western Bolivia (La Paz and Cochabamba),LC,maqcan1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes palpebralis,Eye-ringed Thistletail,Andes of central Peru (Junín),LC,eyrthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes coryi,Ochre-browed Thistletail,"Andes of western Venezuela (northern Táchira, Mérida, and Trujillo)",LC,ocbthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes perijana,Perija Thistletail,Sierra de Perijá (Colombia/Venezuela border),EN,perthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes fuliginosa,White-chinned Thistletail,,LC,whcthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Asthenes griseomurina,Mouse-colored Thistletail,Andes of southern Ecuador and far northern Peru,LC,mocthi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Spartonoica maluroides,Bay-capped Wren-Spinetail,far southern Brazil to Uruguay and central Argentina,LC,bcwspi1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudoseisura cristata,Caatinga Cacholote,"arid northeastern Brazil (Pernambuco, Piauí, Bahia, and Minas Gerais)",LC,caacac1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudoseisura unirufa,Grey-crested Cacholote,"eastern Bolivia, Chaco of northern Paraguay, and southwestern Brazil (Mato Grosso)",LC,rufcac2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudoseisura lophotes,Brown Cacholote,,LC,brncac1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Pseudoseisura gutturalis,White-throated Cacholote,,LC,whtcac2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Acrobatornis fonsecai,Pink-legged Graveteiro,"southeastern Bahia and extreme northeastern Minas Gerais, eastern Brazil",VU,pilgra1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Metopothrix aurantiaca,Orange-fronted Plushcrown,tropical southeastern Colombia to northern Bolivia and western Amazonian Brazil,LC,orfplu2
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Xenerpestes singularis,Equatorial Greytail,locally in foothills of eastern Ecuador and northern Peru,LC,equgra1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Xenerpestes minlosi,Double-banded Greytail,,LC,dobgra1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Siptornis striaticollis,Spectacled Prickletail,,LC,spepri1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Roraimia adusta,Roraiman Barbtail,,LC,rorbar1
Passeriformes,Furnariidae,Ovenbirds and Woodcreepers,Thripophaga gutturata,Speckled Spinetail,"southern Colombia to northern Bolivia, the Guianas, and northern Amazonian Brazil",LC,spespi1
